Team,Opposition,MatchID,TotalPoints,Tournament,Conversions,Contestable_Restart_Win_Pct,Lineout_Win_Pct,Scrum_Win_Pct,Scores,Tries,Possession Time,Passes,Rucks Attack,Ruck_retention,T-Overs Won,Pens_Frees_Against,Ruck_Maul,Yellow_Red Cards
USA,England,16,40,2019_Vancouver_7s,1,33.33333333,1,0,21,3,281,48,19,79,1,3,2,1
FIJ,USA,17,38,2019_Hamilton_7s,0.666666667,40,0,1,38,6,221,28,6,100,6,2,0,0
USA,Fiji,17,44,2019_Cape_Town,0,50,1,1,15,3,325,51,12,75,5,2,2,1
USA,Fiji,18,38,2019_Dubai_7s,0.5,75,1,1,24,4,315,63,9,100,3,1,1,0
FIJI,USA,18,38,2019_Dubai_7s,1,0,1,1,14,2,132,25,1,100,2,4,1,1
FIJI,USA,19,38,2019_Vancouver_7s,0.5,60,0,1,24,4,288,53,7,100,1,2,1,1
USA,Fiji,19,38,2019_Hamilton_7s,0,0,0.5,1,0,0,200,38,14,71,2,1,1,0
USA,Fiji,20,47,2019_Hong_Kong,0.666666667,50,1,1,19,3,239,43,15,80,5,2,2,0
FRANCE,USA,20,29,2019_Las_Vegas,0,0,0,1,10,2,243,47,11,91,1,5,1,2
USA,Fiji,21,29,2019_London_7s,0,66.66666667,1,1,10,2,204,36,12,75,1,4,2,0
FRANCE,USA,21,7,2019_Sydney_7s,0,0,1,0.666666667,0,0,148,32,7,71,4,5,3,0
USA,Fiji,22,47,2019_Paris_7s,1,50,1,1,14,2,353,58,13,85,6,3,1,0
FRANCE,USA,22,38,2019_Vancouver_7s,0.8,66.66666667,1,1,33,5,288,36,10,70,6,3,2,0
USA,Fiji,23,38,2019_Vancouver_7s,1,0,1,1,14,2,142,28,6,100,3,2,0,0
Fiji,USA,23,44,2019_Cape_Town,0.4,0,0.666666667,1,29,5,178,17,5,80,6,3,0,0
Fiji,USA,24,47,2019_Hong_Kong,1,25,0,0.5,28,4,178,20,2,50,6,4,2,0
USA,France,24,29,2019_Las_Vegas,0.666666667,0,1,1,19,3,210,40,7,100,3,7,3,1
Fiji,USA,25,29,2019_London_7s,0.666666667,0,0,1,19,3,299,27,7,100,4,2,1,0
USA,France,25,45,2019_London_7s,0.6,50,1,0,31,5,330,50,14,100,2,1,1,0
USA,France,26,7,2019_Sydney_7s,1,50,1,1,7,1,309,50,11,91,4,4,3,0
Fiji,USA,26,47,2019_Paris_7s,0.8,100,0,0,33,5,222,32,4,75,7,2,1,1
France,USA,27,45,2019_London_7s,1,0,0,0,14,2,127,22,5,60,1,5,4,0
USA,France,27,38,2019_Vancouver_7s,0,100,1,1,5,1,236,58,12,75,5,2,2,0
Japan,USA,28,54,2019_Cape_Town,0,0,0,1,0,0,225,45,17,71,3,5,4,0
USA,Japan,28,54,2019_Cape_Town,0.875,42.85714286,1,1,54,8,268,35,5,100,6,3,0,0
KENYA,USA,29,36,2019_Las_Vegas,0,0,1,1,10,2,159,28,7,86,3,4,1,0
USA,Kenya,29,36,2019_Las_Vegas,0.75,20,0.666666667,1,26,4,180,30,8,75,5,2,1,0
KENYA,USA,30,41,2019_Sydney_7s,0,0,0,1,0,0,238,31,11,82,3,4,3,0
USA,Kenya,30,40,2019_Paris_7s,0.75,33.33333333,0.5,0,26,4,261,57,11,91,3,4,1,0
Kenya,USA,31,40,2019_Paris_7s,1,100,0,1,14,2,180,25,11,82,3,3,1,0
USA,Kenya,31,31,2019_Singapore_7s,0.333333333,0,1,1,17,3,244,49,10,100,4,4,2,0
USA,Kenya,32,41,2019_Sydney_7s,0.428571429,50,1,1,41,7,190,30,7,100,6,2,1,0
Kenya,USA,32,31,2019_Singapore_7s,1,0,0,1,14,2,247,43,12,75,2,4,3,0
USA,New Zealand,33,43,2019_Cape_Town,0.6,20,1,1,31,5,272,42,14,93,5,1,1,0
NEW ZEALAND,USA,33,26,2019_Dubai_7s,1,0,0.5,1,21,3,212,31,8,75,6,4,2,1
NEW ZEALAND,USA,34,31,2019_Dubai_7s,0.5,0,1,1,24,4,276,54,19,84,5,6,4,1
USA,New Zealand,34,26,2019_Dubai_7s,0,50,1,1,5,1,230,55,9,89,3,4,2,0
USA,New Zealand,35,31,2019_Dubai_7s,1,0,1,0,7,1,202,45,8,88,3,3,1,1
NEW ZEALAND,USA,35,24,2019_Hamilton_7s,1,0,1,1,7,1,107,16,5,60,4,2,0,1
NEW ZEALAND,USA,36,43,2019_Las_Vegas,0.666666667,0,1,1,19,3,96,21,2,100,0,6,2,1
USA,New Zealand,36,24,2019_Hamilton_7s,0.333333333,50,1,1,17,3,282,52,17,94,6,1,1,0
NEW ZEALAND,USA,37,26,2019_Sydney_7s,1,0,1,1,21,3,167,28,8,88,4,4,2,0
USA,New Zealand,37,43,2019_Las_Vegas,0.5,33.33333333,1,0,24,4,261,38,23,91,0,1,0,0
New Zealand,USA,38,43,2019_Cape_Town,0.5,0,0,0,12,2,148,27,8,63,3,6,3,0
USA,New Zealand,38,26,2019_Sydney_7s,0,50,1,1,5,1,205,39,8,100,4,1,0,0
USA,Samoa,39,48,2019_Hamilton_7s,0.9,40,1,1,34,5,294,40,21,90,2,3,2,0
SAMOA,USA,39,48,2019_Hamilton_7s,1,0,1,0,14,2,129,23,7,71,1,3,2,0
SAMOA,USA,40,29,2019_Las_Vegas,0,0,1,1,0,0,157,28,9,67,1,3,1,0
USA,Samoa,40,32,2019_Hong_Kong,0.25,0,1,1,22,4,299,32,8,100,6,1,0,0
SCOTLAND,USA,41,33,2019_Hamilton_7s,1,0,1,1,14,2,175,36,8,75,4,2,1,0
USA,Samoa,41,29,2019_Las_Vegas,0.4,20,1,1,29,5,300,59,13,92,5,0,0,0
SOUTH AFRICA,USA,42,39,2019_Las_Vegas,0,50,0,0.5,10,2,226,31,19,74,3,3,3,0
USA,Samoa,42,45,2019_Paris_7s,0.8,33.33333333,1,1,33,5,555,43,10,100,3,2,1,0
USA,Scotland,43,33,2019_Hamilton_7s,0.666666667,75,1,1,19,3,207,32,10,90,2,1,0,0
SOUTH AFRICA,USA,43,26,2019_Vancouver_7s,0.666666667,0,0,1,19,3,225,35,9,78,5,4,1,0
SPAIN,USA,44,29,2019_Dubai_7s,0,0,1,1,0,0,134,31,7,57,3,5,4,0
USA,South Africa,44,33,2019_Hong_Kong,1,0,1,1,21,3,190,26,15,100,3,2,0,0
SPAIN,USA,45,46,2019_Sydney_7s,0,0,1,1,10,2,263,48,13,100,0,1,0,0
USA,South Africa,45,39,2019_Las_Vegas,0.4,33.33333333,1,0,29,5,209,23,14,79,6,3,3,0
Samoa,USA,46,32,2019_Hong_Kong,0,50,0,1,10,2,230,39,14,86,2,4,1,1
USA,South Africa,46,31,2019_Paris_7s,1,0,1,0,7,1,195,35,13,100,2,3,1,1
USA,South Africa,47,36,2019_Singapore_7s,0.5,50,1,1,12,2,223,34,16,88,1,3,2,1
Samoa,USA,47,45,2019_Paris_7s,0.5,0,0,1,12,2,149,23,7,86,1,2,1,0
South Africa,USA,48,33,2019_Hong_Kong,0.5,0,1,1,12,2,196,38,15,87,2,3,2,0
USA,South Africa,48,26,2019_Vancouver_7s,1,0,1,0,7,1,293,66,19,89,1,3,2,0
South Africa,USA,49,31,2019_Paris_7s,0.5,0,1,1,24,4,336,41,17,94,5,2,2,0
USA,Spain,49,55,2019_Cape_Town,0.666666667,40,1,0,38,6,245,35,9,89,3,0,0,0
South Africa,USA,50,36,2019_Singapore_7s,0.5,40,1,0,24,4,225,39,11,100,3,4,3,0
USA,Spain,50,29,2019_Dubai_7s,0.4,25,1,1,29,5,199,30,7,100,5,2,0,0
Spain,USA,51,55,2019_Cape_Town,0.333333333,50,0,1,17,3,124,13,3,33,2,4,1,0
USA,Spain,51,43,2019_Hong_Kong,0.5,33.33333333,1,1,36,6,216,29,7,71,6,3,2,0
Spain,USA,52,43,2019_Hong_Kong,1,0,0,1,7,1,182,27,15,67,3,2,2,0
USA,Spain,52,34,2019_London_7s,0.4,40,1,1,29,5,248,39,11,91,2,2,1,0
Spain,USA,53,34,2019_London_7s,0,0,1,1,5,1,143,27,5,80,1,3,1,0
USA,Spain,53,38,2019_Paris_7s,0.6,60,0.6,1,31,5,277,38,10,100,3,3,1,0
Spain,USA,54,38,2019_Paris_7s,1,0,1,1,7,1,171,32,11,91,3,4,3,0
USA,Spain,54,46,2019_Sydney_7s,0.5,20,0,1,36,6,152,22,4,100,3,4,1,0
USA,Tonga,55,36,2019_Hamilton_7s,0.4,60,1,1,29,5,400,36,11,100,1,2,2,0
TONGA,USA,55,36,2019_Hamilton_7s,1,0,1,1,7,1,107,17,4,100,1,6,2,1
WALES,USA,56,45,2019_Dubai_7s,0.5,0,0,1,12,2,125,32,5,80,3,0,0,0
USA,Wales,56,45,2019_Dubai_7s,0.8,0,0,0,33,5,55,5,1,0,3,2,2,0
WALES,USA,57,54,2019_Vancouver_7s,1,0,0,0,14,2,170,29,14,71,4,4,2,0
USA,Wales,57,40,2019_Hong_Kong,0.666666667,33.33333333,1,1,19,3,236,35,8,75,2,4,2,0
Wales,USA,58,40,2019_Hong_Kong,1,0,0,1,21,3,269,37,13,92,4,2,1,0
USA,Wales,58,54,2019_London_7s,1,25,1,0,28,4,266,48,12,100,4,0,0,0
Wales,USA,59,54,2019_London_7s,0.75,25,0,1,26,4,240,46,12,75,4,3,2,1
USA,Wales,59,43,2019_Singapore_7s,0.6,0,0.5,1,31,5,229,34,7,100,4,1,1,0
USA,Wales,60,54,2019_Vancouver_7s,0.833333333,60,1,0,40,6,325,32,9,100,3,4,3,0
Wales,USA,60,43,2019_Singapore_7s,0.5,0,0,1,12,2,337,49,10,90,3,3,2,0
